points,passing_yds,passing_int,passing_times_sacked,rushing_yds,fmb,punts_yds,penalty_yds,def_passing_yds,def_passing_int,def_passing_times_sacked,def_rushing_yds,def_fmb,pass_play_percentage,def_pass_play_percentage,drives,def_drives,tds_per_yard,def_tds_per_yard,fg_percentage,home_game
30,185.4,0.95,3.182,109.743,0.975,210.643,63.767,178.376,1.089,2.761,91.028,0.817,55.396,55.291,8.41,8.56,49.271,54.946,57.976,0
21,185.405,0.835,2.646,144.574,0.994,272.536,53.625,226.665,1.389,2.159,105.494,0.666,47.664,59.692,9.477,8.258,61.526,61.983,73.413,1
22,185.41,0.665,1.903,130.009,0.688,234.059,65.252,210.507,0.625,2.154,135.707,0.762,48.435,49.166,9.306,9.608,58.156,81.944,65.579,0
10,185.415,1.182,3.327,102.962,1.069,243.461,50.997,217.888,0.812,1.742,123.617,0.895,56.345,54.301,8.788,8.498,63.331,57.473,66.511,1
13,185.428,0.573,3.101,121.44,0.478,232.511,48.485,186.597,0.862,2.622,95.668,0.706,50.736,54.629,8.716,8.69,48.619,48.165,79.349,1
3,185.435,0.584,3.238,122.023,0.765,268.681,54.529,255.16,1.203,2.947,93.281,0.771,52.478,62.768,9.561,8.991,63.193,58.351,59.697,0
24,185.439,0.986,3.462,103.235,0.874,248.815,43.029,220.424,0.844,2.745,81.731,0.807,55.828,58.956,8.885,8.699,63.281,51.756,74.756,1
16,185.443,1.224,2.828,110.509,0.714,242.733,57.83,192.994,1.27,2.459,113.499,0.711,54.466,51.681,8.779,9.067,49.128,59.745,66.823,0
10,185.475,0.887,2.869,101.425,0.778,259.397,39.359,195.742,1.265,1.879,152.337,0.589,57.703,47.932,9.141,8.652,60.465,57.111,63.97,0
16,185.483,0.723,1.334,141.136,0.913,198.511,58.741,242.45,0.887,2.233,119.683,0.687,48.121,56.923,9.036,9.445,72.773,62.862,86.379,0
27,185.489,1.109,2.038,106.409,0.714,240.47,56.115,206.043,0.702,2.118,139.709,0.787,53.164,49.552,9.109,9.577,52.567,83.039,74.821,1
16,185.503,0.796,2.219,104.973,0.786,213.423,36.184,206.319,0.669,2.317,124.45,0.776,50.242,48.016,8.573,8.467,57.186,69.823,69.542,1
33,185.503,0.885,1.508,138.183,0.472,223.085,41.248,219.385,1.016,1.863,107.506,0.529,47.298,54.831,9.361,8.57,74.367,67.65,77.516,1
20,185.504,0.428,2.571,138.415,0.583,225.747,40.859,242.822,0.564,1.62,117.743,0.438,50.467,51.446,8.979,9.904,71.277,75.907,72.353,1
0,185.504,1.08,3.025,97.781,0.334,226.188,59.205,235.865,0.668,2.41,117.314,0.443,55.475,57.552,8.389,8.612,51.841,63.963,50.076,1
24,185.511,0.804,2.249,137.726,0.541,176.378,47.794,242.715,1.232,1.987,95.928,0.582,40.755,58.417,8.526,8.111,66.305,66.492,79.277,1
20,185.525,0.781,2.013,149.888,0.461,239.356,44.534,196.453,0.515,2.577,146.172,0.808,50.417,47.486,9.223,9.958,59.151,70.018,67.326,1
14,185.528,0.969,3.614,100.128,1.186,220.806,59.988,203.599,0.927,1.889,128.345,0.694,54.619,50.56,8.129,7.714,46.803,56.422,70.6,1
15,185.541,1.009,2.571,114.64,1.064,204.277,50.542,195.211,1.098,3.383,79.901,1.102,51.693,59.33,8.948,8.388,60.192,70.183,76.752,1
23,185.542,0.88,2.055,146.153,0.565,247.867,49.839,187.096,0.99,2.41,104.64,0.401,48.27,54.091,9.387,7.929,56.149,66.171,56.831,0
17,185.582,1.063,2.383,105.76,0.526,226.624,40.799,220.535,0.624,1.487,127.556,0.847,54.476,53.539,8.847,8.715,50.676,71.313,68.035,0
18,185.591,1.218,2.385,110.978,1.092,211.035,58.6,178.875,1.02,1.832,102.143,0.644,54.285,52.96,8.831,9.574,60.12,52.676,48.088,0
7,185.606,0.941,1.933,96.228,0.678,228.421,55.059,191.305,1.345,2.234,111.803,0.602,55.937,53.212,8.625,9.183,51.792,44.283,64.24,1
23,185.617,1.161,2.493,110.659,0.842,245.295,50.3,221.036,1.375,2.108,116.476,0.732,55.199,55.857,8.196,8.749,36.093,64.886,70.333,0
28,185.651,0.969,2.747,89.384,0.361,225.084,65.133,250.945,0.818,1.408,110.158,0.345,56.802,56.767,8.373,8.254,51.289,78.496,62.732,0
28,185.667,0.758,2.882,95.43,0.85,203.021,49.443,207.928,1.041,2.544,127.213,0.883,52.851,53.303,8.343,7.58,59.393,62.544,60.944,0
7,185.689,0.838,2.989,104.593,0.556,258.077,46.052,228.581,1.159,1.816,115.788,0.721,56.606,55.343,9.141,7.885,60.461,63.684,62.428,0
30,185.714,0.438,3.055,145.206,0.317,225.546,61.111,264.016,0.938,2.027,107.39,0.736,47.605,55.782,9.23,8.588,66.411,65.427,73.076,0
20,185.715,1.19,1.86,114.365,1.116,243.35,54.588,240.034,0.832,1.754,120.496,0.683,49.708,52.651,9.215,9.472,56.728,71.101,64.564,0
17,185.762,0.786,2.41,117.859,0.539,207.304,43.975,157.101,1.291,2.473,116.745,0.912,48.214,49.351,8.683,8.537,55.068,73.06,71.888,1
7,185.778,0.892,2.703,102.499,0.702,225.831,59.829,193.305,0.906,2.07,115.548,0.709,51.084,51.495,8.784,8.457,59.209,54.317,61.912,1
30,185.778,1.074,1.687,157.964,0.49,209.838,53.914,252.556,0.747,1.672,110.094,0.554,45.994,56.456,9.491,8.695,60.43,73.025,74.355,0
20,185.78,0.897,2.396,106.301,0.574,205.355,45.991,216.89,0.788,2.16,101.88,0.681,52.439,55.598,8.365,9.603,48.728,66.469,80.021,1
41,185.793,0.901,2.632,140.39,1.006,256.213,49.266,228.785,1.179,2.245,104.285,0.999,49.772,57.827,9.295,10.021,52.455,58.495,69.192,1
9,185.8,1.113,2.094,131.613,0.505,252.052,41.32,207.978,0.911,1.897,133.029,0.643,53.706,51.928,9.232,7.795,57.745,57.216,67.013,1
13,185.808,1.1,3.771,88.192,0.852,256.061,60.091,225.89,0.851,2.033,108.873,1.005,57.448,55.655,8.613,8.723,46.45,67.464,58.104,1
10,185.818,0.602,2.204,124.108,0.272,217.209,46.178,218.829,0.678,2.399,132.766,0.4,53.261,51.385,8.82,8.81,49.645,88.785,82.379,0
19,185.824,0.673,1.768,207.158,0.511,130.864,57.915,292.636,0.343,1.647,127.373,0.452,41.184,52.989,8.115,8.779,85.856,93.285,86.431,1
6,185.828,1.111,1.672,155.682,0.676,201.587,41.048,197.585,0.788,2.23,109.984,0.971,46.931,53.936,8.794,8.588,67.695,51.321,71.882,1
24,185.86,0.526,2.027,186.852,0.437,146.792,54.477,198.997,1.096,3.733,93.645,0.669,44.601,56.934,8.275,8.38,76.691,69.812,86.589,0
8,185.865,0.821,3.629,92.576,0.758,265.735,48.615,216.584,0.598,1.57,126.331,0.519,61.223,51.996,8.715,8.242,43.076,65.871,77.058,0
24,185.873,0.827,1.715,145.501,0.463,224.955,47.73,204.799,0.929,2.067,109.555,0.818,47.006,53.54,9.712,9.155,83.229,66.581,74.174,0
14,185.876,0.953,2.353,106.622,0.48,214.485,46.231,206.059,1.166,2.718,90.35,0.56,53.404,57.084,8.519,8.786,48.428,44.743,83.527,1
14,185.894,0.853,2.582,129.702,0.822,235.023,51.206,210.468,0.741,2.837,107.315,0.892,53.87,55.975,9.622,9.651,65.092,54.316,76.626,1
14,185.895,1.135,1.971,116.559,1.079,233.667,56.12,203.66,1.429,2.296,110.575,0.972,49.045,57.433,9.241,8.698,57.542,55.03,68.771,0
36,185.896,1.116,2.394,106.756,0.52,258.33,55.431,215.703,0.755,1.728,144.308,0.573,56.688,48.761,8.919,8.964,45.846,77.269,79.593,1
23,185.925,0.896,1.782,114.003,0.752,271.427,65.222,201.747,1.034,2.53,79.465,0.545,53.257,59.164,9.231,8.396,57.412,40.327,64.502,1
20,185.93,0.889,2.719,101.346,0.596,254.07,46.157,206.064,0.605,3.016,107.846,0.76,57.526,56.406,8.725,9.2,63.778,57.715,61.246,0
0,185.941,0.961,3.27,91.348,0.664,274.994,65.965,210.576,1.497,2.914,99.326,0.479,56.471,62.329,9.26,8.297,53.502,40.799,72.033,0
29,185.944,0.801,2.094,148.236,0.501,245.045,47.325,197.505,0.754,1.721,150.883,0.594,50.424,48.099,9.375,8.939,58.763,73.01,70.81,1
23,185.945,0.947,2.652,130.933,0.735,257.541,46.257,231.115,1.046,2.722,133.257,0.457,51.484,53.356,9.119,9.884,40.996,78.603,74.542,1
13,185.96,0.735,2.422,122.348,0.716,177.045,37.2,215.047,0.691,2.403,99.006,0.653,49.576,57.82,7.781,8.351,64.979,72.2,79.74,1
23,186.034,0.715,1.402,126.008,0.769,225.36,53.589,207.318,0.949,1.764,133.693,0.418,48.335,48.846,9.118,8.064,67.167,66.329,51.652,1
14,186.04,1.445,1.976,149.942,0.509,186.338,38.645,198.136,0.997,2.026,108.544,0.744,49.438,55.018,8.734,8.195,67.088,58.929,83.187,1
23,186.046,0.693,1.925,201.375,0.495,135.035,59.162,224.237,0.76,2.632,111.159,0.419,42.313,58.5,8.139,8.512,80.247,59.346,87.684,1
31,186.069,0.728,1.443,137.871,0.545,220.759,55.251,193.022,0.972,2.269,144.127,0.922,47.794,48.381,9.145,8.502,58.199,75.649,60.536,1
13,186.082,1.113,2.22,113.42,0.856,211.168,43.71,229.275,1.28,2.133,130.733,0.58,54.797,51.372,8.481,8.796,61.448,53.683,55.659,0
7,186.104,0.711,2.697,124.362,0.371,228.071,47.815,191.856,0.741,2.687,115.637,0.444,49.631,52.643,9.031,9.236,63.105,59.926,78.971,1
13,186.112,0.849,3.037,96.157,0.773,295.437,54.84,241.43,1.102,1.864,111.494,0.624,57.735,56.086,9.652,9.414,39.432,63.728,66.457,1
17,186.118,0.953,2.358,106.418,0.493,209.305,44.743,223.3,0.901,2.385,128.403,0.556,53.578,53.427,8.476,10.134,47.662,57.398,82.272,1
35,186.174,1.03,3.282,100.369,0.851,264.134,44.23,224.88,0.924,1.764,144.044,0.737,55.313,48.645,9.127,8.877,65.515,73.899,74.756,0
20,186.174,1.428,2.612,108.531,0.706,258.178,53.192,200.424,1.018,2.493,104.914,0.724,56.485,55.997,8.631,7.629,39.038,56.058,68.643,0
28,186.19,1.187,1.845,135.244,0.646,206.258,40.522,194.97,1.115,1.887,127.378,0.636,48.54,49.299,8.724,8.775,67.461,68.705,78.425,1
7,186.201,1.333,3.346,85.723,0.993,219.597,46.405,207.438,0.697,1.868,110.342,0.607,56.762,49.996,8.394,9.44,52.538,66.637,57.807,0
22,186.232,0.713,1.85,130.995,0.669,234.884,64.83,193.095,1.094,2.477,132.593,0.932,48.591,51.486,9.371,7.445,62.568,60.953,60.186,1
17,186.233,0.95,2.545,134.321,0.725,264.883,49.078,185.925,0.707,2.616,106.714,0.592,51.037,53.055,9.274,9.433,40.074,70.956,71.265,0
6,186.233,0.825,2.915,95.183,0.747,269.419,65.797,267.561,0.867,2.148,83.849,0.437,55.931,65.357,9.228,8.626,49.585,58.167,74.365,1
10,186.24,0.817,1.405,146.925,0.46,211.026,39.734,188.606,0.927,2.602,93.803,0.757,45.451,56.724,9.342,9.107,74.466,49.33,77.085,0
13,186.257,1.054,2.487,106.173,1.07,229.74,58.705,214.722,0.844,1.683,118.82,0.566,54.41,53.464,9.237,9.343,61.212,58.494,59.355,1
24,186.276,0.747,2.727,153.934,0.699,181.574,44.639,259.558,0.676,2.44,79.031,0.427,47.944,60.955,8.273,8.396,61.489,55.364,80.763,1
23,186.281,1.304,3.182,126.806,0.434,224.648,50.053,242.807,0.929,2.138,126.012,0.556,50.468,52.413,9.124,8.581,56.615,64.812,82.874,0
13,186.283,0.848,2.712,100.043,0.709,202.211,38.055,189.053,1.388,3.375,80.811,0.887,51.886,58.409,8.277,8.625,58.165,49.674,68.178,1
21,186.287,0.991,2.465,112.419,0.717,233.44,61.243,252.141,0.878,2.286,119.472,0.771,53.141,56.468,8.979,8.452,52.958,70.413,53.606,1
9,186.303,0.908,2.684,135.604,0.442,217.662,55.38,201.209,0.821,1.901,108.136,0.815,50.474,52.799,9.106,9.085,54.16,64.102,77.11,1
26,186.337,1.119,2.249,137.936,0.775,194.283,44.966,234.867,0.876,2.747,115.939,0.403,53.713,56.247,8.528,8.712,70.222,67.63,75.34,1
14,186.341,1.123,2.258,117.194,0.631,210.515,42.371,213.998,0.726,2.519,88.013,0.539,54.54,57.546,8.663,9.113,62.687,64.08,59.922,1
7,186.343,1.094,2.216,136.104,0.906,238.257,48.877,222.373,0.874,2.107,128.913,0.87,48.988,52.477,8.584,9.007,34.851,54.809,76.642,1
9,186.35,0.818,1.953,129.46,0.957,224.568,51.023,178.335,1.092,2.727,80.022,0.758,46.851,60.589,9.119,8.344,66.98,55.309,67.084,0
7,186.364,0.997,1.991,131.044,0.589,197.068,51.423,187.106,0.557,2.252,106.023,0.606,51.12,56.56,8.519,8.918,60.441,69.152,60.122,0
13,186.369,1.068,2.473,113.349,1.001,205.682,51.74,186.214,1.534,2.733,102.204,0.864,51.771,53.791,8.603,9.492,58.371,53.097,75.91,1
13,186.397,0.958,2.115,111.464,0.593,212.24,46.971,199.616,0.932,2.132,142.856,0.394,55.633,47.782,8.279,8.183,47.156,60.976,63.478,0
22,186.405,0.713,2.054,131.179,0.584,224.749,40.937,205.152,1.093,1.989,108.023,0.648,50.309,54.162,8.726,8.21,66.63,62.577,71.352,0
7,186.414,1.027,2.085,102.216,0.58,231.981,54.144,195.944,0.979,2.396,100.827,0.673,54.817,56.207,9.049,9.354,53.659,60.807,63.098,1
22,186.419,1.118,2.291,101.268,0.782,210.901,46.21,209.531,1.157,2.713,79.505,0.529,57.031,54.508,8.13,9.331,44.644,61.237,70.358,0
10,186.426,1.227,2.467,141.623,0.665,180.182,40.69,220.7,0.728,2.366,112.277,0.889,47.837,55.883,8.009,8.416,58.24,56.023,73.138,0
13,186.427,0.732,3.461,97.929,0.766,260.286,48.415,215.323,0.689,2.849,99.127,0.418,59.819,57.73,8.849,8.072,41.952,69.044,82.265,0
20,186.429,1.296,2.892,87.465,0.557,266.964,50.956,245.776,0.648,2.907,117.059,0.559,57.607,54.038,9.008,8.979,65.279,68.554,52.815,1
34,186.44,1.112,2.893,103.647,0.766,255.092,40.095,221.202,0.867,1.949,143.209,0.474,58.097,46.479,8.974,8.728,57.689,54.775,65.564,0
21,186.442,0.926,1.838,110.965,0.753,274.069,68.847,230.134,0.721,2.735,91.693,0.529,55.127,57.018,9.322,9.255,52.41,75.995,68.777,0
22,186.445,1.184,2.039,149.981,0.486,218.757,53.331,217.715,1.118,2.977,76.542,0.83,47.351,61.572,9.518,8.726,54.246,48.407,71.426,1
37,186.458,0.769,1.726,107.758,0.58,278.045,70.206,253.274,0.622,2.268,102.78,0.624,53.24,52.835,9.447,9.071,50.723,76.429,65.964,1
6,186.475,0.99,1.727,106.923,0.377,231.844,57.532,203.068,0.944,1.851,123.77,0.602,55.603,50.507,9.082,9.66,53.312,56.54,69.986,1
29,186.488,0.86,2.405,133.518,0.508,187.22,52.05,164.194,1.326,2.833,96.873,0.911,41.995,52.619,8.569,8.808,65.951,79.931,78.243,1
24,186.504,1.241,3.181,89.843,0.995,225.455,45.103,206.548,0.447,1.948,132.451,0.676,54.867,46.831,8.443,9.524,52.89,71.169,64.711,1
21,186.504,0.798,2.184,112.485,0.771,230.29,50.447,198.906,1.359,1.657,145.452,0.625,52.302,48.68,9.039,8.71,47.085,68.76,77.377,0
34,186.506,0.89,1.992,110.519,0.7,249.633,50.826,196.482,0.768,1.914,142.188,0.866,52.369,48.009,9.207,9.195,55.926,56.478,80.267,0
22,186.51,1.215,2.417,104.29,1.071,199.287,49.676,186.736,0.853,2.628,129.796,0.803,52.871,48.088,8.133,9.548,51.043,59.687,71.345,0
30,186.517,0.964,1.902,121.46,0.61,228.636,49.144,186.842,0.996,2.679,138.084,0.851,52.469,50.987,8.82,8.671,56.101,70.233,61.788,1
17,186.522,1.081,1.734,108.79,0.377,227.006,58.906,218.668,0.752,2.541,114.806,0.625,55.869,55.203,9.093,9.31,52.416,69.392,68.448,0
19,186.548,1.007,3.052,104.19,0.623,259.34,40.71,232.608,1.289,2.642,107.604,0.805,56.066,57.167,9.172,8.217,54.322,59.211,56.081,1
10,186.562,1.212,2.517,117.096,0.788,245.587,59.478,203.917,0.781,2.739,120.555,1.186,50.845,56.296,9.358,8.798,50.232,49.013,45.237,1
7,186.568,0.645,2.48,138.959,0.682,189.66,40.274,197.833,0.517,1.662,118.394,0.241,47.098,51.928,8.116,9.157,58.439,82.731,85.327,1
31,186.594,0.786,2.151,143.394,0.805,218.45,49.356,231.04,1.396,1.864,104.101,0.813,46.1,58.47,9.415,7.725,63.301,59.49,70.506,1
44,186.614,0.569,1.821,135.595,0.662,206.36,58.278,181.918,1.118,2.061,139.945,0.843,47.29,48.679,9.298,7.417,70.908,60.832,73.281,0
16,186.63,0.872,2.936,100.662,0.558,265.861,54.712,270.537,1.307,2.317,113.357,1.227,56.399,57.343,9.167,8.083,54.954,62.037,75.741,0
19,186.643,0.67,2.114,116.207,0.819,221.522,43.092,223.936,0.83,1.923,118.369,0.62,52.285,51.433,8.769,9.591,57.619,65.506,69.456,1
38,186.644,0.903,3.65,102.462,0.386,244.215,57.095,232.696,0.962,2.53,125.562,0.459,58.141,56.005,8.748,8.586,63.475,65.307,70.131,0
0,186.655,1.224,2.635,106.927,0.752,249.959,46.073,228.877,0.808,1.949,101.945,0.389,56.191,55.858,8.334,9.608,39.184,61.435,65.15,1
43,186.666,0.823,2.587,126.077,0.399,221.721,46.119,243.842,0.775,2.239,122.696,0.581,50.064,54.802,8.779,9.225,59.368,68.193,79.318,1
16,186.69,0.662,2.672,132.229,0.67,197.151,42.645,192.038,0.881,3.695,116.68,0.428,51.594,54.262,8.168,8.009,60.096,73.056,74.924,1
27,186.698,1.228,1.798,125.343,0.609,221.386,56.668,209.51,0.814,1.961,118.108,0.741,55.676,51.41,8.944,9.135,62.956,71.905,48.909,0
33,186.723,1.033,2.533,111.158,1.056,206.53,51.714,195.014,1.35,2.035,132.495,0.669,53.015,51.391,8.852,8.737,61.129,56.242,73.428,0
27,186.726,1.168,2.274,133.553,0.987,246.907,50.845,231.804,0.811,2.306,127.362,0.912,50.106,53.586,8.68,8.49,33.347,64.935,75.849,0
16,186.737,0.818,2.136,114.892,0.742,215.723,42.264,226.604,1.001,1.69,149.446,0.625,51.206,46.554,8.771,8.74,52.899,60.987,72.954,0
6,186.747,1.208,2.58,104.744,0.942,243.257,50.697,185.281,0.981,2.079,113.495,0.77,55.908,53.703,8.137,7.177,37.544,45.206,65.524,0
3,186.754,1.111,2.656,101.44,0.726,251.013,62.552,197.954,1.019,2.504,122.495,0.811,54.445,54.281,8.99,8.978,56.251,65.046,56.388,1
23,186.772,1.885,2.684,94.735,0.63,217.055,45.267,222.173,1.019,2.058,119.719,0.839,58.271,53.83,8.094,9.47,50.131,71.108,61.933,0
25,186.848,1.051,2.892,101.6,0.703,223.064,45.458,228.905,1.274,1.607,115.774,0.891,57.797,54.367,8.387,7.591,45.525,62.617,67.828,0
10,186.868,1.177,3.177,89.675,0.658,244.938,62.091,223.047,0.823,2.213,114.43,0.552,59.45,55.684,8.403,8.263,54.475,60.929,60.608,0
40,186.875,1.03,2.443,101.418,0.551,194.353,34.468,185.449,0.775,2.299,123.668,0.792,52.901,47.301,7.996,8.654,47.533,66.969,73.787,1
13,186.877,0.84,2.958,101.069,0.757,251.348,40.425,199.896,0.553,2.227,132.177,0.696,57.218,50.29,9.053,8.298,60.702,61.673,59.717,0
20,186.904,1.012,2.291,137.727,0.73,197.404,46.895,189.676,1.304,2.662,110.382,0.757,54.205,57.074,8.591,8.027,70.132,44.675,74.571,1
7,186.912,1.295,3.386,90.667,1.077,216.066,47.115,199.71,1.021,2.692,95.204,0.756,55.118,54.468,8.447,8.617,54.118,54.971,62.814,1
3,186.914,1.003,2.321,105.056,0.625,246.76,62.481,212.366,1.111,2.762,114.728,0.846,54.048,53.418,8.974,9.004,58.978,68.183,51.657,1
34,186.924,1.458,2.761,96.826,0.937,238.75,54.713,178.685,0.696,2.48,96.889,0.571,55.802,54.807,9.404,9.42,69.207,71.499,72.269,0
10,186.937,1.024,3.295,107.019,1.134,217.698,54.676,198.638,0.865,1.727,103.846,0.781,55.177,52.065,8.428,8.434,53.067,65.876,67.92,0
0,186.947,0.953,3.144,108.951,1.035,219.836,53.985,201.275,1.637,2.346,107.24,0.701,54.619,57.34,8.59,9.205,57.313,53.991,70.697,1
27,186.966,0.913,3.054,99.929,0.561,256.119,42.123,179.539,1.046,2.846,79.877,0.587,57.143,59.902,9.287,8.418,57.796,46.698,60.104,0
13,186.982,0.887,2.466,116.205,0.958,231.208,58.634,228.578,0.428,1.891,127.253,0.788,52.631,49.155,8.951,9.279,59.998,79.22,55.987,0
13,186.992,0.893,1.937,140.435,0.501,239.059,43.867,194.5,1.02,1.602,157.911,0.585,51.317,46.8,9.084,9.116,58.564,72.547,67.034,0
38,187.012,0.682,2.882,125.433,0.618,206.428,44.308,217.625,0.742,2.68,118.697,0.658,53.043,53.479,8.297,8.566,56.684,74.636,74.344,0
27,187.018,0.79,2.67,120.066,0.604,181.389,38.607,200.845,0.684,2.093,129.126,0.43,50.182,48.838,7.833,7.954,64.084,81.902,76.89,0
6,187.02,0.944,1.983,103.787,0.611,223.613,45.477,255.981,0.858,1.887,110.72,0.529,54.549,54.987,8.611,9.71,55.624,67.786,83.998,0
7,187.023,0.959,1.971,101.344,0.544,231.324,59.155,205.428,1.15,2.517,118.747,0.831,55.087,53.017,8.961,8.552,53.461,73.482,57.924,0
9,187.043,1.061,3.366,94.133,0.769,208.087,63.044,218.95,0.956,2.266,111.894,0.522,56.055,56.837,8.393,9.723,59.144,68.963,74.911,1
26,187.048,1.158,3.384,91.376,0.673,217.082,60.373,230.185,0.743,2.315,131.658,0.338,57.474,54.673,8.398,8.83,60.367,69.818,75.715,1
23,187.061,1.054,2.481,146.981,0.766,195.383,45.22,218.18,1.23,2.063,130.397,0.84,52.163,53.281,8.76,8.895,71.258,63.136,79.307,0
47,187.063,0.713,1.347,126.076,0.681,221.06,48.82,230.629,0.564,2.038,144.826,1.083,48.239,49.354,9.487,9.051,63.134,84.195,83.918,1
24,187.063,0.996,2.495,116.42,0.588,232.024,60.913,228.873,0.877,2.625,121.617,0.767,49.99,56.765,8.721,9.236,54.758,55.379,75.634,1
12,187.065,0.948,2.268,102.522,0.599,217.088,44.364,218.895,1.081,2.243,104.683,0.378,54.437,56.538,8.369,8.844,50.349,71.509,83.874,1
18,187.066,1.022,2.676,105.198,0.541,191.518,32.498,228.408,1.127,1.728,135.675,0.69,51.808,52.657,8.197,8.807,50.006,65.279,75.325,0
16,187.069,1.159,2.634,126.913,0.51,206.111,59.364,236.556,0.672,2.56,136.869,0.62,52.084,53.453,8.464,9.335,60.086,69.812,61.647,1
17,187.072,0.776,2.668,126.16,0.371,223.758,45.686,238.303,0.89,2.134,110.836,0.604,49.318,54.586,8.895,8.185,62.343,59.367,79.938,0
39,187.086,0.688,3.117,111.912,0.763,264.904,55.335,232.405,0.78,2.251,109.385,0.567,54.744,55.24,9.279,9.698,56.822,69.378,64.896,0
16,187.092,1.319,2.474,101.072,0.941,239.916,58.773,224.423,1.001,2.159,111.04,0.671,56.884,53.646,9.225,8.587,62.01,63.388,73.948,0
20,187.11,0.877,1.858,122.376,1.266,217.336,53.83,185.464,1.056,2.362,88.137,0.748,50.957,58.794,8.677,8.315,60.09,60.567,55.486,1
13,187.121,0.87,2.159,122.577,0.639,260.576,68.128,255.373,0.669,2.81,95.452,0.358,52.185,58.475,9.467,9.756,55.146,60.02,71.712,1
24,187.127,0.578,2.597,139.352,0.85,183.625,41.063,189.977,0.864,2.402,122.183,0.505,47.494,53.966,7.967,8.642,59.219,54.435,87.189,0
34,187.133,1.19,2.809,141.979,0.713,209.899,49.493,227.214,0.989,2.46,119.15,0.686,52.571,57.566,8.803,9.067,64.314,57.346,73.462,0
21,187.135,1.218,3.44,90.459,0.561,241.829,58.982,190.779,1.039,2.093,111.957,0.625,59.506,55.001,8.464,9.105,56.849,70.021,62.515,1
29,187.165,0.993,2.059,116.725,1.179,215.01,57.163,194.971,1.158,2.226,139.242,0.496,50.386,48.057,8.34,9.128,56.516,70.814,61.02,0
14,187.175,1.169,3.059,115.795,0.5,236.457,51.595,236.235,1.131,1.983,109.521,0.587,51.328,55.976,9.527,9.358,61.229,62.268,81.019,0
3,187.177,0.854,2.876,110.831,0.334,192.167,50.643,259.309,0.959,2.697,71.746,0.607,55.025,66.056,7.944,8.529,63.893,78.838,80.882,1
15,187.212,1.172,2.525,110.368,0.988,208.901,49.81,200.366,1.518,2.744,102.193,0.755,52.061,57.496,8.852,8.064,56.833,41.377,76.578,0
20,187.219,0.621,3.067,134.905,0.776,219.88,54.679,251.428,1.12,2.599,103.779,0.492,48.982,59.641,8.801,9.337,58.037,52.999,69.185,0
17,187.232,1.24,2.772,137.195,0.64,235.284,55.178,226.499,0.794,2.176,97.851,0.427,49.551,58.198,9.017,9.556,48.225,63.878,83.002,0
23,187.245,0.99,2.459,133.095,0.76,257.691,48.019,225.284,0.81,2.382,119.6,0.66,50.864,55.007,9.077,9.462,39.921,69.082,74.018,0
27,187.285,0.908,3.384,109.168,0.386,233.723,56.244,253.897,1.053,2.045,113.757,1.063,57.123,60.113,8.712,8.43,65.991,62.855,72.14,1
13,187.299,1.096,2.431,102.263,0.469,273.658,50.906,219.38,1.358,2.454,109.962,0.826,56.918,56.045,9.521,9.088,43.602,74.528,81.56,0
7,187.343,1.329,2.975,89.419,0.97,220.602,45.679,209.295,1.044,1.966,91.433,0.796,54.975,59.11,8.493,8.279,55.994,43.867,66.443,0
34,187.349,0.769,2.145,143.599,0.748,218.195,49.34,202.476,1.133,1.325,153.205,0.512,46.223,46.289,9.508,8.326,67.796,62.631,71.745,0
24,187.365,0.963,2.52,96.652,0.535,194.102,36.236,225.226,0.865,2.521,111.904,0.827,51.987,54.49,8.049,9.133,61.441,71.047,63.571,1
31,187.373,0.903,2.666,99.802,0.75,231.085,60.069,205.55,1.305,2.439,94.087,0.761,50.479,57.836,8.762,8.86,55.22,55.808,63.673,0
31,187.376,1.074,2.711,122.288,0.49,234.838,50.734,257.975,0.637,2.795,105.342,0.854,50.605,58.249,9.273,9.046,58.728,67.867,72.155,0
31,187.386,1.174,2.135,107.794,0.728,263.605,49.758,233.392,0.861,2.063,118.615,0.702,54.469,52.393,9.226,9.671,49.464,65.306,67.338,0
34,187.396,1.19,3.141,87.616,0.62,254.248,67.736,226.619,0.932,2.739,131.06,0.454,57.283,51.364,8.937,8.068,54.053,63.275,65.702,1
33,187.404,1.381,2.205,104.764,0.813,247.272,57.872,225.241,0.392,1.927,125.053,0.945,56.375,49.922,9.217,9.15,56.916,73.584,68.146,1
3,187.419,1.056,2.415,105.794,0.53,183.286,34.4,222.967,1.176,2.38,100.68,0.7,52.109,56.252,7.911,8.357,48.676,64.939,73.18,1
7,187.426,1.589,1.213,86.147,0.321,234.661,53.102,245.168,0.967,2.026,132.245,0.594,60.691,53.115,9.093,9.341,51.609,76.013,58.34,0
20,187.471,1.046,2.96,141.041,0.595,207.355,54.539,220.45,0.807,3.082,120.036,0.515,51.245,55.456,8.449,8.074,57.908,64.836,72.991,1
36,187.494,0.814,1.939,129.462,1.07,212.235,57.248,202.621,0.864,2.738,106.728,0.665,48.492,54.684,8.788,9.417,64.03,51.082,64.686,0
31,187.507,1.003,2.347,140.773,0.836,214.326,51.45,242.322,1.081,2.795,106.92,0.448,53.783,58.644,8.931,8.648,62.357,65.049,70.048,0
28,187.507,0.785,2.698,129.363,0.682,259.495,45.691,233.937,0.978,3.022,99.894,0.63,52.979,58.242,9.279,10.301,44.341,64.197,77.639,0
