points,passing_yds,passing_int,passing_times_sacked,rushing_yds,fmb,punts_yds,penalty_yds,def_passing_yds,def_passing_int,def_passing_times_sacked,def_rushing_yds,def_fmb,pass_play_percentage,def_pass_play_percentage,drives,def_drives,tds_per_yard,def_tds_per_yard,fg_percentage,home_game
9,142.803,1.057,2.832,113.158,0.961,279.905,50.473,199.881,0.947,1.939,132.095,0.74,53.756,49.652,9.107,8.928,48.638,80.344,75.159,0
23,143.168,1.142,1.585,125.672,0.645,245.189,45.583,194.633,1.198,1.535,107.521,0.529,47.899,55.785,8.775,8.553,45.152,60.946,63.229,0
30,143.417,0.912,2.665,139.905,0.988,238.684,57.031,199.273,0.713,1.742,110.411,0.44,43.871,53.118,9.735,9.617,57.807,65.576,85.91,0
17,143.503,1,2.492,171.116,0.683,199.12,58.255,179.972,0.844,2.679,126.658,0.802,43.499,47.634,8.647,9.663,67.875,61.493,68.691,1
19,143.565,1.144,2.533,120.878,0.97,244.451,49.675,201.804,0.857,2.575,127.36,0.656,48.605,48.883,9.084,9.5,44.193,75.135,78.36,0
16,143.695,0.977,2.629,107.952,1.088,286.399,48.426,218.827,1.26,2.016,114.772,0.684,48.937,54.933,8.464,7.869,38.938,64.218,66.017,1
20,143.775,1.019,3.189,108.217,1.103,256.628,59.698,199.484,0.812,2.051,138.598,1.003,51.746,49.719,9.247,9.116,55.412,67.718,43.649,1
7,144.031,1.009,2.803,124.926,0.909,275.069,46.996,195.899,1.275,3.086,79.27,0.81,50.536,57.424,9.647,8.737,50.158,51.755,88.88,0
7,144.048,1.009,3.578,104.807,0.986,259.348,56.009,214.217,1.412,2.018,124.344,0.944,52.254,54.921,9.242,8.368,49.868,56.996,44.455,0
16,144.217,0.936,2.624,126.462,0.928,257.46,48.075,200.327,1.1,2.847,83.359,0.798,49.152,58.103,9.558,8.509,55.719,50.23,87.342,1
16,144.259,1.029,2.93,115.138,0.878,286.144,50.951,218.174,0.873,1.764,118.947,0.831,52.791,51.673,9.396,8.482,50.499,62.365,79.658,1
24,144.341,1.069,2.89,154.913,0.816,207.236,54.002,149.651,1.342,2.726,108.917,0.889,44.625,49.08,8.644,8.709,68.233,74.105,57.125,1
20,144.797,1.282,3.056,100.93,1.014,265.889,51.539,224.149,0.743,2.177,131.076,0.631,50.831,51.494,9.321,8.51,44.327,66.576,71.141,0
26,144.846,0.855,2.599,129.501,1.057,251.871,59.422,210.445,1.1,2.319,134.717,0.862,46.728,50.9,9.899,8.901,58.189,68.773,87.799,0
38,145.086,1.14,3.664,96.797,1.043,267.395,58.004,219.089,0.896,2.191,111.433,0.643,53.873,53.815,9.103,8.95,45.442,65.364,43.689,0
37,145.329,0.868,2.462,134.374,1.084,243.086,57.038,191.143,0.653,2.485,130.054,0.845,46.648,48.244,9.814,9.474,57.002,76.835,89.982,0
10,145.401,1.207,3.401,106.979,0.951,258.621,58.781,190.534,0.937,2.027,141.617,0.673,52.36,47.909,9.166,9.04,50.166,63.959,41.827,1
19,145.468,0.872,2.354,119.589,0.829,248.232,53.535,212.447,1.053,2.156,115.89,0.664,46.899,52.766,9.416,8.867,51.29,66.251,65.638,1
7,145.525,0.869,2.355,118.325,0.956,272.112,50.721,179.655,1.044,2.587,102.411,0.481,48.16,56.487,8.662,8.657,44.46,64.619,72.542,1
6,145.937,0.96,2.342,123.972,0.821,260.257,50.065,225.436,0.647,1.466,135.026,0.711,47.192,52.235,8.511,8.594,46.966,77.158,70.979,1
27,146.323,0.801,3.697,109.934,0.696,202.057,50.852,214.236,0.732,2.356,135.38,0.767,48.325,51.855,7.97,8.875,64.98,78.624,51.664,0
14,146.398,0.817,3.76,116.241,0.576,201.024,55.697,186.06,1.257,2.245,116.533,0.738,46.875,50.518,8.109,8.429,63.127,50.419,48.302,1
7,146.592,1.388,1.807,103.898,0.719,242.464,44.987,216.866,1.117,1.781,94.159,0.729,52.265,57.781,8.28,8.399,35.27,56.69,66.454,1
30,146.764,1.037,2.681,160.117,0.815,205.634,55.105,236.741,1.116,2.292,126.741,0.615,44.367,54.537,8.613,8.45,67.495,74.57,59.19,0
23,146.799,1.308,1.783,102.17,0.655,248.148,44.253,216.397,1.048,2.31,105.637,0.818,52.887,57.029,8.344,7.719,34.245,59.587,65.834,0
14,146.845,1.077,3.46,99.361,1.138,269.465,56.634,225.472,0.752,2.18,113.842,0.673,53.625,55.924,9.326,9.266,44.149,67.219,49.268,0
3,147.06,0.968,2.672,123.491,0.873,257.303,45.105,219.166,0.827,2.551,114.447,0.939,50.118,55.241,9.499,9.27,53.472,49.316,88.88,0
13,147.063,0.886,2.508,115.768,0.904,299.813,50.93,196.216,0.783,1.952,109.931,0.411,49.63,53.685,8.994,8.834,45.904,54.548,63.641,0
0,147.138,1.369,1.647,105.768,0.755,237.051,43.847,208.874,1.105,2.039,91.636,0.52,52.252,55.323,8.188,8.743,35.462,57.82,71.834,0
16,147.377,0.916,2.643,124.079,0.835,218.878,60.386,214.845,1.043,2.414,104.111,0.687,48.423,54.829,8.65,8.843,63.553,62.376,75.989,1
24,147.398,1.228,2.352,125.94,0.968,240.953,47.44,215.239,1.036,2.811,115.879,0.826,48.643,54.97,9.045,9.303,46.393,56.625,78.629,1
7,147.418,1.088,3.736,101.588,1.081,265.875,55.498,188.348,1.098,2.34,97.692,0.637,53.236,53.845,9.228,9.032,46.936,57.957,45.697,1
10,147.562,1.106,1.521,125.158,0.597,241.648,44.625,231.152,1.147,1.837,107.625,0.605,48.315,56.624,8.822,8.068,47.059,55.021,65.262,0
7,147.614,0.9,2.718,120.819,1.009,250.522,55.126,235.899,1.079,2.32,107.896,0.801,48.406,57.383,8.38,8.084,40.517,60.245,61.679,1
17,147.728,0.741,3.806,110.182,0.576,205.836,53.223,247.146,0.767,2.166,109.515,0.841,47.712,57.826,8.129,8.827,66.609,75.701,47.276,0
28,147.73,0.84,2.64,178.324,0.627,201.925,57.617,209.995,1.038,1.804,104.559,0.818,43.815,54.399,8.837,8.552,56.456,63.919,73.918,0
24,147.826,1.029,2.576,155.687,1.137,233.752,61.606,216.679,1.439,2.121,147.347,0.642,44.067,53.316,9.941,8.514,63.476,66.238,80.512,0
17,148,1.005,2.512,128.243,0.883,249.823,50.344,192.23,0.927,2.234,143.931,0.95,50.083,48.609,9.391,8.799,51.755,79.988,85.803,1
24,148.06,1.169,3.478,102.626,1.141,265.579,54.019,216.287,0.929,2.194,126.188,0.59,52.108,55.011,9.638,8.23,49.463,74.685,55.514,0
37,148.101,1.124,2.893,109.233,0.961,286.029,49.478,217.189,1.16,2.424,103.137,0.814,55.43,56.045,9.228,8.643,45.438,72.703,78.009,1
18,148.185,1.105,2.826,158.461,0.867,195.971,55.526,226.262,1.133,2.379,125.097,0.602,44.766,54.102,8.539,9.205,67.512,66.552,52.279,1
5,148.187,1.161,3.576,100.436,1.132,263.432,56.146,240.474,1.073,1.308,133.601,0.413,52.951,52.701,9.349,8.779,47.487,64.904,52.454,0
26,148.243,0.988,2.688,118.053,1.037,255.06,55.871,203.358,1.048,2.347,106.999,0.571,49.038,55.226,8.386,8.146,37.962,69.244,61.059,0
41,148.419,1.168,1.771,107.626,0.582,247.475,43.42,227.607,0.764,1.271,153.707,0.882,52.782,48.327,8.487,9.492,36.226,66.998,66.364,1
17,148.456,0.789,3.866,114.26,0.612,204.09,53.418,198.179,1.293,2.904,116.844,0.933,47.36,53.536,8.114,7.34,64.751,64.76,44.634,1
10,148.526,0.824,2.593,138.242,1.084,245.28,59.73,208.299,1.1,2.872,122.327,1.243,46.266,53.17,10.146,7.667,61.832,68.031,89.982,1
10,148.674,1.026,3.247,107.933,0.913,262.796,56.474,216.253,0.936,2.301,121.413,0.987,51.759,52.967,9.734,7.875,52.297,72.067,58.418,0
25,148.722,0.909,2.511,170.284,0.695,194.342,57.069,201.633,0.756,2.521,113.259,0.549,43.282,52.093,8.578,9.211,69.198,69.738,71.023,0
17,148.778,0.969,2.673,150.311,1.129,232.217,62.653,194.649,0.8,2.108,111.07,0.834,44.065,51.505,9.853,9.448,65.483,70.462,84.479,1
27,148.818,0.859,2.443,167.684,0.706,204.555,58.896,193.696,1.129,1.988,112.766,0.681,43.946,50.183,8.754,8.53,68.73,55.977,68.295,0
25,149.04,1.319,2.772,104.088,0.979,252.734,51.445,223.391,1.163,2.84,114.697,0.564,49.721,55.703,9.227,9.06,44.096,58.175,66.05,0
13,149.126,1.196,3.496,97.822,1.174,261.529,56.779,230.916,0.986,2.186,116.703,0.607,53.298,52.529,9.258,9.053,44.844,72.664,53.831,1
20,149.192,1.169,2.9,106.285,0.931,265.279,51.532,191.584,0.862,2.608,137.483,0.901,50.63,50.331,9.664,9.125,44.572,77.614,72.323,0
3,149.192,0.806,2.753,129.482,0.624,250.18,43.249,243.618,1.665,2.517,88.197,0.715,49.232,62.234,8.918,9.118,56.803,50.767,71.75,0
9,149.245,0.88,2.712,117.899,0.9,293.568,55.255,226.884,0.839,1.948,145.134,0.526,50.133,47.157,8.888,8.836,46.279,55.154,65.245,1
15,149.264,0.89,2.81,117.698,0.671,266.199,47.388,258.89,1.615,2.323,112.35,0.294,51.392,58.816,9.167,8.11,56.392,58.842,72.766,1
17,149.325,0.995,3.525,152.583,0.573,172.777,46.412,220.844,0.713,2.562,108.125,0.784,45.698,58.946,7.455,8.819,67.697,69.942,73.152,1
17,149.419,0.952,2.668,123.416,0.775,222.883,59.597,239.481,0.579,1.554,131.028,0.556,48.628,48.084,8.751,9.59,60.458,76.623,75.989,1
26,149.522,1.26,2.345,122.839,0.916,247.291,48.879,213.677,1.155,1.991,105.074,0.845,50.305,56.326,9.033,8.586,50.865,55.489,80.423,1
7,149.544,0.887,2.192,144.161,0.838,232.157,54.434,215.784,1.093,2.55,129.108,0.966,46.529,52.564,9.776,7.896,57.694,69.824,82.521,0
34,149.646,0.851,2.638,167.929,0.755,209.76,59.224,212.107,0.773,2.177,136.046,1.06,43.969,50.432,8.832,9.131,67.904,69.058,63.064,1
3,149.808,1.129,3.492,105.258,1.152,259.553,53.778,206.68,0.769,1.848,102.878,0.676,51.7,51.677,9.505,8.11,52.522,56.404,54.137,1
41,149.925,0.812,2.906,180.705,0.797,189.113,58.396,196.629,1.219,2.888,82.406,0.655,43.664,58.502,8.695,8.439,56.661,56.773,66.516,0
17,150.023,0.844,2.644,180.861,0.691,204.645,60.076,205.087,0.756,1.715,107.77,0.622,44.237,49.775,8.979,9.136,58.064,68.402,70.323,1
30,150.101,0.911,2.395,138.202,0.887,237.494,56.056,181.852,1.188,2.678,123.151,0.867,47.432,48.318,9.771,9.468,57.039,59.111,82.521,0
3,150.133,0.816,2.548,133.48,1.076,237.652,55.472,209.632,1.563,2.592,103.877,0.732,45.309,57.135,9.803,7.852,62.909,44.306,86.18,1
20,150.205,1.169,2.513,127.557,0.851,249.607,50.008,216.185,1.082,2.461,109.425,0.922,49.727,54.135,9.244,8.386,48.837,71.728,83.995,0
9,150.323,1.2,2.836,110.415,1.136,244.468,52.582,218.37,1.319,2.454,100.375,0.653,50.648,56.715,9.049,8.976,46.65,65.765,73.825,0
13,150.479,1.097,3.079,116.253,1.054,262.795,56.824,219.575,1.383,2.733,128.379,0.874,49.492,54.345,9.328,8.441,46.006,66.916,48.176,0
20,150.515,0.894,2.779,112.905,0.868,304.582,55.365,196.246,0.754,2.013,125.086,0.67,50.203,51.87,9.139,8.35,45.795,63.425,62.84,1
13,150.517,0.96,2.925,117.775,0.925,254.384,55.745,224.449,0.952,1.303,144.078,0.691,48.717,49.1,8.413,8.985,40.338,64.111,61.282,0
20,150.588,1.2,2.218,131.186,0.924,251.243,49.732,219.741,1.009,2.349,109.394,0.957,48.954,54.316,9.24,8.571,49.764,70.452,79.209,0
