,team,opponent,date
7396,DEN,TEN,1969-10-26
14323,MIA,BUF,1969-10-26
13092,LAC,LVR,1969-10-26
23416,TEN,DEN,1969-10-26
16009,NWE,NYJ,1969-10-26
2835,BUF,MIA,1969-10-26
18626,NYJ,NWE,1969-10-26
11964,LVR,LAC,1969-10-26
11746,KAN,CIN,1969-10-26
25031,WAS,IND,1969-11-02
11965,LVR,CIN,1969-11-02
20421,PIT,GNB,1969-11-02
17711,NYG,PHI,1969-11-02
19870,PHI,NYG,1969-11-02
7686,DET,SFO,1969-11-02
1407,ATL,LAR,1969-11-02
10006,IND,WAS,1969-11-02
2836,BUF,KAN,1969-11-02
9226,GNB,PIT,1969-11-02
6398,DAL,BAL,1969-11-02
15346,MIN,CHI,1969-11-02
2437,BAL,DAL,1969-11-02
23417,TEN,NWE,1969-11-02
4321,CHI,MIN,1969-11-02
13093,LAC,DEN,1969-11-02
13740,LAR,ATL,1969-11-02
7397,DEN,LAC,1969-11-02
763,ARI,NOR,1969-11-02
21256,SFO,DET,1969-11-02
17207,NOR,ARI,1969-11-02
11747,KAN,BUF,1969-11-02
16010,NWE,TEN,1969-11-02
14324,MIA,NYJ,1969-11-02
18627,NYJ,MIA,1969-11-02
13094,LAC,KAN,1969-11-09
1408,ATL,DET,1969-11-09
4322,CHI,PIT,1969-11-09
7687,DET,ATL,1969-11-09
764,ARI,NYG,1969-11-09
2837,BUF,NYJ,1969-11-09
16011,NWE,MIA,1969-11-09
15347,MIN,BAL,1969-11-09
17712,NYG,ARI,1969-11-09
13741,LAR,SFO,1969-11-09
18628,NYJ,BUF,1969-11-09
23418,TEN,CIN,1969-11-09
9227,GNB,IND,1969-11-09
2438,BAL,MIN,1969-11-09
17208,NOR,DAL,1969-11-09
11966,LVR,DEN,1969-11-09
20422,PIT,CHI,1969-11-09
25032,WAS,PHI,1969-11-09
10007,IND,GNB,1969-11-09
11748,KAN,LAC,1969-11-09
19871,PHI,WAS,1969-11-09
14325,MIA,NWE,1969-11-09
7398,DEN,LVR,1969-11-09
6399,DAL,NOR,1969-11-09
21257,SFO,LAR,1969-11-09
11967,LVR,LAC,1969-11-16
11749,KAN,NYJ,1969-11-16
21258,SFO,IND,1969-11-16
13095,LAC,LVR,1969-11-16
16012,NWE,CIN,1969-11-16
17209,NOR,NYG,1969-11-16
14326,MIA,BUF,1969-11-16
25033,WAS,DAL,1969-11-16
765,ARI,DET,1969-11-16
17713,NYG,NOR,1969-11-16
1409,ATL,CHI,1969-11-16
7688,DET,ARI,1969-11-16
6400,DAL,WAS,1969-11-16
20423,PIT,BAL,1969-11-16
19872,PHI,LAR,1969-11-16
2838,BUF,MIA,1969-11-16
13742,LAR,PHI,1969-11-16
10008,IND,SFO,1969-11-16
4323,CHI,ATL,1969-11-16
9228,GNB,MIN,1969-11-16
7399,DEN,TEN,1969-11-16
18629,NYJ,KAN,1969-11-16
23419,TEN,DEN,1969-11-16
2439,BAL,PIT,1969-11-16
15348,MIN,GNB,1969-11-16
2839,BUF,NWE,1969-11-23
13096,LAC,DEN,1969-11-23
20424,PIT,MIN,1969-11-23
4324,CHI,IND,1969-11-23
13743,LAR,DAL,1969-11-23
14327,MIA,TEN,1969-11-23
11968,LVR,KAN,1969-11-23
21259,SFO,NOR,1969-11-23
25034,WAS,ATL,1969-11-23
17210,NOR,SFO,1969-11-23
2440,BAL,NYG,1969-11-23
23420,TEN,MIA,1969-11-23
10009,IND,CHI,1969-11-23
6401,DAL,LAR,1969-11-23
19873,PHI,ARI,1969-11-23
9229,GNB,DET,1969-11-23
7689,DET,GNB,1969-11-23
7400,DEN,LAC,1969-11-23
11750,KAN,LVR,1969-11-23
15349,MIN,PIT,1969-11-23
1410,ATL,WAS,1969-11-23
18630,NYJ,CIN,1969-11-23
17714,NYG,BAL,1969-11-23
16013,NWE,BUF,1969-11-23
766,ARI,PHI,1969-11-23
23421,TEN,LAC,1969-11-27
21260,SFO,DAL,1969-11-27
11751,KAN,DEN,1969-11-27
7401,DEN,KAN,1969-11-27
13097,LAC,TEN,1969-11-27
6402,DAL,SFO,1969-11-27
7690,DET,MIN,1969-11-27
15350,MIN,DET,1969-11-27
18631,NYJ,LVR,1969-11-30
2441,BAL,CHI,1969-11-30
11969,LVR,NYJ,1969-11-30
767,ARI,PIT,1969-11-30
19874,PHI,NOR,1969-11-30
2840,BUF,CIN,1969-11-30
16014,NWE,MIA,1969-11-30
25035,WAS,LAR,1969-11-30
14328,MIA,NWE,1969-11-30
1411,ATL,IND,1969-11-30
17715,NYG,GNB,1969-11-30
9230,GNB,NYG,1969-11-30
17211,NOR,PHI,1969-11-30
10010,IND,ATL,1969-11-30
4325,CHI,BAL,1969-11-30
13744,LAR,WAS,1969-11-30
20425,PIT,ARI,1969-11-30
4326,CHI,SFO,1969-12-06
21261,SFO,CHI,1969-12-06
18632,NYJ,TEN,1969-12-06
23422,TEN,NYJ,1969-12-06
6403,DAL,PIT,1969-12-07
7402,DEN,MIA,1969-12-07
2442,BAL,GNB,1969-12-07
17212,NOR,ATL,1969-12-07
25036,WAS,PHI,1969-12-07
7691,DET,IND,1969-12-07
13745,LAR,MIN,1969-12-07
10011,IND,DET,1969-12-07
15351,MIN,LAR,1969-12-07
1412,ATL,NOR,1969-12-07
19875,PHI,WAS,1969-12-07
2841,BUF,KAN,1969-12-07
20426,PIT,DAL,1969-12-07
16015,NWE,LAC,1969-12-07
9231,GNB,BAL,1969-12-07
13098,LAC,NWE,1969-12-07
14329,MIA,DEN,1969-12-07
11970,LVR,CIN,1969-12-07
11752,KAN,BUF,1969-12-07
768,ARI,NYG,1969-12-07
17716,NYG,ARI,1969-12-07
10012,IND,DAL,1969-12-13
11753,KAN,LVR,1969-12-13
6404,DAL,IND,1969-12-13
11971,LVR,KAN,1969-12-13
23423,TEN,NWE,1969-12-14
13746,LAR,DET,1969-12-14
18633,NYJ,MIA,1969-12-14
14330,MIA,NYJ,1969-12-14
20427,PIT,NYG,1969-12-14
2443,BAL,ARI,1969-12-14
13099,LAC,BUF,1969-12-14
15352,MIN,SFO,1969-12-14
9232,GNB,CHI,1969-12-14
16016,NWE,TEN,1969-12-14
4327,CHI,GNB,1969-12-14
17213,NOR,WAS,1969-12-14
17717,NYG,PIT,1969-12-14
25037,WAS,NOR,1969-12-14
7403,DEN,CIN,1969-12-14
7692,DET,LAR,1969-12-14
2842,BUF,LAC,1969-12-14
769,ARI,BAL,1969-12-14
19876,PHI,ATL,1969-12-14
21262,SFO,MIN,1969-12-14
1413,ATL,PHI,1969-12-14
6405,DAL,WAS,1969-12-21
25038,WAS,DAL,1969-12-21
13747,LAR,IND,1969-12-21
17214,NOR,PIT,1969-12-21
10013,IND,LAR,1969-12-21
15353,MIN,ATL,1969-12-21
7693,DET,CHI,1969-12-21
9233,GNB,ARI,1969-12-21
17718,NYG,BAL,1969-12-21
2444,BAL,NYG,1969-12-21
4328,CHI,DET,1969-12-21
20428,PIT,NOR,1969-12-21
19877,PHI,SFO,1969-12-21
770,ARI,GNB,1969-12-21
1414,ATL,MIN,1969-12-21
21263,SFO,PHI,1969-12-21
13893,LAR,ARI,1970-09-18
184,ARI,LAR,1970-09-18
4408,CHI,NYG,1970-09-19
18309,NYG,CHI,1970-09-19
8479,GNB,DET,1970-09-20
16333,NWE,MIA,1970-09-20
23614,TEN,PIT,1970-09-20
911,ATL,NOR,1970-09-20
7916,DET,GNB,1970-09-20
14428,MIA,NWE,1970-09-20
17099,NOR,ATL,1970-09-20
6525,DAL,PHI,1970-09-20
15806,MIN,KAN,1970-09-20
21115,SFO,WAS,1970-09-20
9976,IND,LAC,1970-09-20
10981,KAN,MIN,1970-09-20
7074,DEN,BUF,1970-09-20
24805,WAS,SFO,1970-09-20
21101,PIT,TEN,1970-09-20
2772,BUF,DEN,1970-09-20
20137,PHI,DAL,1970-09-20
12621,LAC,IND,1970-09-20
12048,LVR,CIN,1970-09-20
2095,BAL,NYJ,1970-09-21
18792,NYJ,BAL,1970-09-21
23615,TEN,MIA,1970-09-27
912,ATL,GNB,1970-09-27
13894,LAR,BUF,1970-09-27
15807,MIN,NOR,1970-09-27
6526,DAL,NYG,1970-09-27
21116,SFO,BAL,1970-09-27
14429,MIA,TEN,1970-09-27
7075,DEN,PIT,1970-09-27
12622,LAC,LVR,1970-09-27
21102,PIT,DEN,1970-09-27
20138,PHI,CHI,1970-09-27
7917,DET,CIN,1970-09-27
4409,CHI,PHI,1970-09-27
24806,WAS,ARI,1970-09-27
12049,LVR,LAC,1970-09-27
16334,NWE,NYJ,1970-09-27
2773,BUF,LAR,1970-09-27
18793,NYJ,NWE,1970-09-27
2096,BAL,SFO,1970-09-27
8480,GNB,ATL,1970-09-27
18310,NYG,DAL,1970-09-27
17100,NOR,MIN,1970-09-27
185,ARI,WAS,1970-09-27
9977,IND,KAN,1970-09-28
10982,KAN,IND,1970-09-28
14430,MIA,LVR,1970-10-03
2097,BAL,PIT,1970-10-03
12050,LVR,MIA,1970-10-03
21103,PIT,BAL,1970-10-03
13895,LAR,LAC,1970-10-04
18311,NYG,NOR,1970-10-04
10983,KAN,DEN,1970-10-04
20139,PHI,WAS,1970-10-04
18794,NYJ,BUF,1970-10-04
12623,LAC,LAR,1970-10-04
186,ARI,DAL,1970-10-04
24807,WAS,PHI,1970-10-04
8481,GNB,MIN,1970-10-04
16335,NWE,IND,1970-10-04
7076,DEN,KAN,1970-10-04
2774,BUF,NYJ,1970-10-04
23616,TEN,CIN,1970-10-04
17101,NOR,NYG,1970-10-04
15808,MIN,GNB,1970-10-04
6527,DAL,ARI,1970-10-04
913,ATL,SFO,1970-10-04
21117,SFO,ATL,1970-10-04
9978,IND,NWE,1970-10-04
7918,DET,CHI,1970-10-05
4410,CHI,DET,1970-10-05
14431,MIA,NYJ,1970-10-10
18795,NYJ,MIA,1970-10-10
6528,DAL,ATL,1970-10-11
2098,BAL,CIN,1970-10-11
2775,BUF,PIT,1970-10-11
12051,LVR,DEN,1970-10-11
15809,MIN,CHI,1970-10-11
4411,CHI,MIN,1970-10-11
9979,IND,TEN,1970-10-11
20140,PHI,NYG,1970-10-11
187,ARI,NOR,1970-10-11
914,ATL,DAL,1970-10-11
21104,PIT,BUF,1970-10-11
24808,WAS,DET,1970-10-11
17102,NOR,ARI,1970-10-11
21118,SFO,LAR,1970-10-11
13896,LAR,SFO,1970-10-11
10984,KAN,NWE,1970-10-11
7077,DEN,LVR,1970-10-11
23617,TEN,IND,1970-10-11
7919,DET,WAS,1970-10-11
16336,NWE,KAN,1970-10-11
18312,NYG,PHI,1970-10-11
12624,LAC,GNB,1970-10-12
8482,GNB,LAC,1970-10-12
2099,BAL,DET,1970-10-18
18313,NYG,NWE,1970-10-18
13897,LAR,GNB,1970-10-18
6529,DAL,MIN,1970-10-18
188,ARI,PHI,1970-10-18
17103,NOR,SFO,1970-10-18
2776,BUF,MIA,1970-10-18
9980,IND,NYJ,1970-10-18
23618,TEN,PIT,1970-10-18
21119,SFO,NOR,1970-10-18
10985,KAN,CIN,1970-10-18
7078,DEN,ATL,1970-10-18
21105,PIT,TEN,1970-10-18
8483,GNB,LAR,1970-10-18
14432,MIA,BUF,1970-10-18
16337,NWE,NYG,1970-10-18
20141,PHI,ARI,1970-10-18
4412,CHI,LAC,1970-10-18
7920,DET,BAL,1970-10-18
18796,NYJ,IND,1970-10-18
15810,MIN,DAL,1970-10-18
915,ATL,DEN,1970-10-18
12625,LAC,CHI,1970-10-18
24809,WAS,LVR,1970-10-19
12052,LVR,WAS,1970-10-19
8484,GNB,PHI,1970-10-25
916,ATL,NOR,1970-10-25
7079,DEN,SFO,1970-10-25
9981,IND,NWE,1970-10-25
16338,NWE,IND,1970-10-25
10986,KAN,DAL,1970-10-25
20142,PHI,GNB,1970-10-25
23619,TEN,LAC,1970-10-25
21120,SFO,DEN,1970-10-25
14433,MIA,BAL,1970-10-25
4413,CHI,DET,1970-10-25
6530,DAL,KAN,1970-10-25
18797,NYJ,BUF,1970-10-25
2777,BUF,NYJ,1970-10-25
24810,WAS,CIN,1970-10-25
2100,BAL,MIA,1970-10-25
7921,DET,CHI,1970-10-25
18314,NYG,ARI,1970-10-25
12626,LAC,TEN,1970-10-25
21106,PIT,LVR,1970-10-25
17104,NOR,ATL,1970-10-25
189,ARI,NYG,1970-10-25
12053,LVR,PIT,1970-10-25
15811,MIN,LAR,1970-10-26
13898,LAR,MIN,1970-10-26
14434,MIA,IND,1970-11-01
2101,BAL,LAC,1970-11-01
20143,PHI,DAL,1970-11-01
16339,NWE,BUF,1970-11-01
23620,TEN,ARI,1970-11-01
9982,IND,MIA,1970-11-01
7922,DET,MIN,1970-11-01
21121,SFO,GNB,1970-11-01
18315,NYG,NYJ,1970-11-01
17105,NOR,LAR,1970-11-01
4414,CHI,ATL,1970-11-01
8485,GNB,SFO,1970-11-01
12627,LAC,BAL,1970-11-01
6531,DAL,PHI,1970-11-01
15812,MIN,DET,1970-11-01
18798,NYJ,NYG,1970-11-01
13899,LAR,NOR,1970-11-01
2778,BUF,NWE,1970-11-01
7080,DEN,WAS,1970-11-01
24811,WAS,DEN,1970-11-01
10987,KAN,LVR,1970-11-01
190,ARI,TEN,1970-11-01
12054,LVR,KAN,1970-11-01
917,ATL,CHI,1970-11-01
5335,CIN,PIT,1970-11-02
21107,PIT,CIN,1970-11-02
12628,LAC,DEN,1970-11-08
23621,TEN,KAN,1970-11-08
21108,PIT,NYJ,1970-11-08
24812,WAS,MIN,1970-11-08
21122,SFO,CHI,1970-11-08
7081,DEN,LAC,1970-11-08
20144,PHI,MIA,1970-11-08
15813,MIN,WAS,1970-11-08
12055,LVR,BAL,1970-11-08
2102,BAL,LVR,1970-11-08
18316,NYG,DAL,1970-11-08
13900,LAR,ATL,1970-11-08
17106,NOR,DET,1970-11-08
191,ARI,NWE,1970-11-08
5336,CIN,BUF,1970-11-08
6532,DAL,NYG,1970-11-08
2779,BUF,CIN,1970-11-08
18799,NYJ,PIT,1970-11-08
4415,CHI,SFO,1970-11-08
16340,NWE,ARI,1970-11-08
7923,DET,NOR,1970-11-08
918,ATL,LAR,1970-11-08
10988,KAN,TEN,1970-11-08
14435,MIA,PHI,1970-11-08
8486,GNB,IND,1970-11-09
9983,IND,GNB,1970-11-09
12056,LVR,DEN,1970-11-15
15814,MIN,DET,1970-11-15
919,ATL,PHI,1970-11-15
21109,PIT,KAN,1970-11-15
17107,NOR,MIA,1970-11-15
5337,CIN,BAL,1970-11-15
9984,IND,BUF,1970-11-15
21123,SFO,TEN,1970-11-15
7924,DET,MIN,1970-11-15
13901,LAR,NYJ,1970-11-15
24813,WAS,NYG,1970-11-15
2103,BAL,CIN,1970-11-15
18317,NYG,WAS,1970-11-15
2780,BUF,IND,1970-11-15
4416,CHI,GNB,1970-11-15
18800,NYJ,LAR,1970-11-15
16341,NWE,LAC,1970-11-15
10989,KAN,PIT,1970-11-15
7082,DEN,LVR,1970-11-15
8487,GNB,CHI,1970-11-15
23622,TEN,SFO,1970-11-15
20145,PHI,ATL,1970-11-15
14436,MIA,NOR,1970-11-15
12629,LAC,NWE,1970-11-15
6533,DAL,ARI,1970-11-16
192,ARI,DAL,1970-11-16
8488,GNB,MIN,1970-11-22
6534,DAL,WAS,1970-11-22
23623,TEN,BAL,1970-11-22
14437,MIA,IND,1970-11-22
4417,CHI,BUF,1970-11-22
7925,DET,SFO,1970-11-22
5338,CIN,PIT,1970-11-22
920,ATL,LAR,1970-11-22
18801,NYJ,NWE,1970-11-22
17108,NOR,DEN,1970-11-22
2781,BUF,CHI,1970-11-22
9985,IND,MIA,1970-11-22
13902,LAR,ATL,1970-11-22
193,ARI,KAN,1970-11-22
12057,LVR,LAC,1970-11-22
7083,DEN,NOR,1970-11-22
24814,WAS,DAL,1970-11-22
12630,LAC,LVR,1970-11-22
21124,SFO,DET,1970-11-22
10990,KAN,ARI,1970-11-22
21110,PIT,CIN,1970-11-22
2104,BAL,TEN,1970-11-22
15815,MIN,GNB,1970-11-22
16342,NWE,NYJ,1970-11-22
20146,PHI,NYG,1970-11-23
18318,NYG,PHI,1970-11-23
7926,DET,LVR,1970-11-26
12058,LVR,DET,1970-11-26
8489,GNB,DAL,1970-11-26
6535,DAL,GNB,1970-11-26
18319,NYG,WAS,1970-11-29
12631,LAC,KAN,1970-11-29
2782,BUF,NWE,1970-11-29
9986,IND,CHI,1970-11-29
20147,PHI,ARI,1970-11-29
10991,KAN,LAC,1970-11-29
7084,DEN,TEN,1970-11-29
21111,PIT,BAL,1970-11-29
15816,MIN,NYJ,1970-11-29
21125,SFO,LAR,1970-11-29
17109,NOR,CIN,1970-11-29
16343,NWE,BUF,1970-11-29
18802,NYJ,MIN,1970-11-29
13903,LAR,SFO,1970-11-29
5339,CIN,NOR,1970-11-29
2105,BAL,PIT,1970-11-29
24815,WAS,NYG,1970-11-29
4418,CHI,IND,1970-11-29
23624,TEN,DEN,1970-11-29
194,ARI,PHI,1970-11-29
921,ATL,MIA,1970-11-30
14438,MIA,ATL,1970-11-30
4419,CHI,MIN,1970-12-05
15817,MIN,CHI,1970-12-05
16344,NWE,MIA,1970-12-06
21126,SFO,ATL,1970-12-06
13904,LAR,NOR,1970-12-06
12059,LVR,NYJ,1970-12-06
24816,WAS,DAL,1970-12-06
12632,LAC,CIN,1970-12-06
10992,KAN,DEN,1970-12-06
21112,PIT,GNB,1970-12-06
14439,MIA,NWE,1970-12-06
18320,NYG,BUF,1970-12-06
2783,BUF,NYG,1970-12-06
9987,IND,PHI,1970-12-06
17110,NOR,LAR,1970-12-06
195,ARI,DET,1970-12-06
5340,CIN,LAC,1970-12-06
7085,DEN,KAN,1970-12-06
8490,GNB,PIT,1970-12-06
6536,DAL,WAS,1970-12-06
7927,DET,ARI,1970-12-06
922,ATL,SFO,1970-12-06
18803,NYJ,LVR,1970-12-06
20148,PHI,IND,1970-12-06
2106,BAL,TEN,1970-12-07
23625,TEN,BAL,1970-12-07
6537,DAL,BAL,1970-12-12
10993,KAN,LVR,1970-12-12
2107,BAL,DAL,1970-12-12
12060,LVR,KAN,1970-12-12
14440,MIA,NYJ,1970-12-13
18804,NYJ,MIA,1970-12-13
8491,GNB,CHI,1970-12-13
18321,NYG,ARI,1970-12-13
4420,CHI,GNB,1970-12-13
2784,BUF,IND,1970-12-13
923,ATL,PIT,1970-12-13
12633,LAC,DEN,1970-12-13
15818,MIN,NWE,1970-12-13
196,ARI,NYG,1970-12-13
5341,CIN,TEN,1970-12-13
21113,PIT,ATL,1970-12-13
16345,NWE,MIN,1970-12-13
17111,NOR,SFO,1970-12-13
20149,PHI,WAS,1970-12-13
7086,DEN,LAC,1970-12-13
9988,IND,BUF,1970-12-13
24817,WAS,PHI,1970-12-13
21127,SFO,NOR,1970-12-13
23626,TEN,CIN,1970-12-13
7928,DET,LAR,1970-12-14
13905,LAR,DET,1970-12-14
18805,NYJ,IND,1970-12-19
9989,IND,NYJ,1970-12-19
24818,WAS,ARI,1970-12-20
13906,LAR,NYG,1970-12-20
10994,KAN,LAC,1970-12-20
2108,BAL,DEN,1970-12-20
17112,NOR,CHI,1970-12-20
23627,TEN,DAL,1970-12-20
18322,NYG,LAR,1970-12-20
21114,PIT,PHI,1970-12-20
15819,MIN,ATL,1970-12-20
6538,DAL,TEN,1970-12-20
197,ARI,WAS,1970-12-20
7929,DET,GNB,1970-12-20
20150,PHI,PIT,1970-12-20
7087,DEN,BAL,1970-12-20
5342,CIN,NWE,1970-12-20
16346,NWE,CIN,1970-12-20
8492,GNB,DET,1970-12-20
21128,SFO,LVR,1970-12-20
12061,LVR,SFO,1970-12-20
14441,MIA,BUF,1970-12-20
2785,BUF,MIA,1970-12-20
924,ATL,MIN,1970-12-20
12634,LAC,KAN,1970-12-20
4421,CHI,NOR,1970-12-20
2206,BAL,TEN,1971-09-19
16017,NWE,LVR,1971-09-19
23852,TEN,BAL,1971-09-19
21440,SFO,ATL,1971-09-19
6112,DAL,BUF,1971-09-19
20296,PIT,CHI,1971-09-19
17193,NOR,LAR,1971-09-19
5130,CIN,PHI,1971-09-19
25055,WAS,ARI,1971-09-19
592,ARI,WAS,1971-09-19
19131,NYJ,IND,1971-09-19
19728,PHI,CIN,1971-09-19
12004,LVR,NWE,1971-09-19
10028,IND,NYJ,1971-09-19
14121,LAR,NOR,1971-09-19
15036,MIA,DEN,1971-09-19
6775,DEN,MIA,1971-09-19
12635,LAC,KAN,1971-09-19
897,ATL,SFO,1971-09-19
11130,KAN,LAC,1971-09-19
4307,CHI,PIT,1971-09-19
17860,NYG,GNB,1971-09-19
8800,GNB,NYG,1971-09-19
3233,BUF,DAL,1971-09-19
7596,DET,MIN,1971-09-20
15995,MIN,DET,1971-09-20
6113,DAL,PHI,1971-09-26
3234,BUF,MIA,1971-09-26
17861,NYG,WAS,1971-09-26
15037,MIA,BUF,1971-09-26
4308,CHI,MIN,1971-09-26
14122,LAR,ATL,1971-09-26
6776,DEN,GNB,1971-09-26
11131,KAN,TEN,1971-09-26
10029,IND,BAL,1971-09-26
898,ATL,LAR,1971-09-26
19729,PHI,DAL,1971-09-26
12636,LAC,LVR,1971-09-26
12005,LVR,LAC,1971-09-26
25056,WAS,NYG,1971-09-26
15996,MIN,CHI,1971-09-26
16018,NWE,DET,1971-09-26
7597,DET,NWE,1971-09-26
23853,TEN,KAN,1971-09-26
20297,PIT,CIN,1971-09-26
2207,BAL,IND,1971-09-26
8801,GNB,DEN,1971-09-26
21441,SFO,NOR,1971-09-26
5131,CIN,PIT,1971-09-26
17194,NOR,SFO,1971-09-26
593,ARI,NYJ,1971-09-27
19132,NYJ,ARI,1971-09-27
10030,IND,NWE,1971-10-03
25057,WAS,DAL,1971-10-03
21442,SFO,PHI,1971-10-03
6777,DEN,KAN,1971-10-03
3235,BUF,MIN,1971-10-03
19730,PHI,SFO,1971-10-03
16019,NWE,IND,1971-10-03
6114,DAL,WAS,1971-10-03
4309,CHI,LAR,1971-10-03
17195,NOR,TEN,1971-10-03
20298,PIT,LAC,1971-10-03
7598,DET,ATL,1971-10-03
15038,MIA,NYJ,1971-10-03
899,ATL,DET,1971-10-03
17862,NYG,ARI,1971-10-03
19133,NYJ,MIA,1971-10-03
8802,GNB,CIN,1971-10-03
594,ARI,NYG,1971-10-03
12637,LAC,PIT,1971-10-03
15997,MIN,BUF,1971-10-03
5132,CIN,GNB,1971-10-03
14123,LAR,CHI,1971-10-03
23854,TEN,NOR,1971-10-03
11132,KAN,DEN,1971-10-03
2208,BAL,LVR,1971-10-04
12006,LVR,BAL,1971-10-04
17196,NOR,CHI,1971-10-10
25058,WAS,TEN,1971-10-10
2209,BAL,PIT,1971-10-10
15039,MIA,CIN,1971-10-10
10031,IND,BUF,1971-10-10
20299,PIT,BAL,1971-10-10
12007,LVR,DEN,1971-10-10
7599,DET,GNB,1971-10-10
19731,PHI,MIN,1971-10-10
900,ATL,ARI,1971-10-10
11133,KAN,LAC,1971-10-10
8803,GNB,DET,1971-10-10
5133,CIN,MIA,1971-10-10
4310,CHI,NOR,1971-10-10
19134,NYJ,NWE,1971-10-10
23855,TEN,WAS,1971-10-10
21443,SFO,LAR,1971-10-10
595,ARI,ATL,1971-10-10
6778,DEN,LVR,1971-10-10
14124,LAR,SFO,1971-10-10
12638,LAC,KAN,1971-10-10
3236,BUF,IND,1971-10-10
16020,NWE,NYJ,1971-10-10
15998,MIN,PHI,1971-10-10
6115,DAL,NYG,1971-10-11
17863,NYG,DAL,1971-10-11
17197,NOR,DAL,1971-10-17
19732,PHI,LVR,1971-10-17
6116,DAL,NOR,1971-10-17
23856,TEN,DET,1971-10-17
596,ARI,WAS,1971-10-17
19135,NYJ,BUF,1971-10-17
25059,WAS,ARI,1971-10-17
10032,IND,NYG,1971-10-17
12639,LAC,DEN,1971-10-17
14125,LAR,ATL,1971-10-17
12008,LVR,PHI,1971-10-17
15040,MIA,NWE,1971-10-17
2210,BAL,CIN,1971-10-17
3237,BUF,NYJ,1971-10-17
7600,DET,TEN,1971-10-17
6779,DEN,LAC,1971-10-17
8804,GNB,MIN,1971-10-17
15999,MIN,GNB,1971-10-17
16021,NWE,MIA,1971-10-17
5134,CIN,BAL,1971-10-17
901,ATL,LAR,1971-10-17
21444,SFO,CHI,1971-10-17
17864,NYG,IND,1971-10-17
4311,CHI,SFO,1971-10-17
11134,KAN,PIT,1971-10-18
20300,PIT,KAN,1971-10-18
12640,LAC,BUF,1971-10-23
3238,BUF,LAC,1971-10-23
23857,TEN,PIT,1971-10-24
11135,KAN,WAS,1971-10-24
14126,LAR,GNB,1971-10-24
17865,NYG,PHI,1971-10-24
2211,BAL,DEN,1971-10-24
12009,LVR,CIN,1971-10-24
15041,MIA,NYJ,1971-10-24
6780,DEN,BAL,1971-10-24
902,ATL,NOR,1971-10-24
5135,CIN,LVR,1971-10-24
8805,GNB,LAR,1971-10-24
597,ARI,SFO,1971-10-24
16022,NWE,DAL,1971-10-24
21445,SFO,ARI,1971-10-24
25060,WAS,KAN,1971-10-24
19136,NYJ,MIA,1971-10-24
7601,DET,CHI,1971-10-24
4312,CHI,DET,1971-10-24
20301,PIT,TEN,1971-10-24
6117,DAL,NWE,1971-10-24
17198,NOR,ATL,1971-10-24
19733,PHI,NYG,1971-10-24
10033,IND,MIN,1971-10-25
16000,MIN,IND,1971-10-25
6781,DEN,PHI,1971-10-31
20302,PIT,IND,1971-10-31
23858,TEN,CIN,1971-10-31
12010,LVR,KAN,1971-10-31
2212,BAL,ATL,1971-10-31
12641,LAC,NYJ,1971-10-31
6118,DAL,CHI,1971-10-31
17866,NYG,MIN,1971-10-31
4313,CHI,DAL,1971-10-31
15042,MIA,LAR,1971-10-31
19734,PHI,DEN,1971-10-31
19137,NYJ,LAC,1971-10-31
3239,BUF,ARI,1971-10-31
25061,WAS,NOR,1971-10-31
21446,SFO,NWE,1971-10-31
14127,LAR,MIA,1971-10-31
598,ARI,BUF,1971-10-31
11136,KAN,LVR,1971-10-31
16023,NWE,SFO,1971-10-31
16001,MIN,NYG,1971-10-31
903,ATL,BAL,1971-10-31
17199,NOR,WAS,1971-10-31
5136,CIN,TEN,1971-10-31
10034,IND,PIT,1971-10-31
8806,GNB,DET,1971-11-01
7602,DET,GNB,1971-11-01
5137,CIN,ATL,1971-11-07
17200,NOR,LVR,1971-11-07
25062,WAS,PHI,1971-11-07
12011,LVR,NOR,1971-11-07
15043,MIA,BUF,1971-11-07
6119,DAL,ARI,1971-11-07
19138,NYJ,KAN,1971-11-07
11137,KAN,NYJ,1971-11-07
19735,PHI,WAS,1971-11-07
3240,BUF,MIA,1971-11-07
7603,DET,DEN,1971-11-07
16002,MIN,SFO,1971-11-07
21447,SFO,MIN,1971-11-07
8807,GNB,CHI,1971-11-07
599,ARI,DAL,1971-11-07
17867,NYG,LAC,1971-11-07
16024,NWE,TEN,1971-11-07
4314,CHI,GNB,1971-11-07
2213,BAL,PIT,1971-11-07
12642,LAC,NYG,1971-11-07
20303,PIT,BAL,1971-11-07
904,ATL,CIN,1971-11-07
23859,TEN,NWE,1971-11-07
6782,DEN,DET,1971-11-07
14128,LAR,IND,1971-11-08
10035,IND,LAR,1971-11-08
14129,LAR,DET,1971-11-14
6120,DAL,PHI,1971-11-14
19736,PHI,DAL,1971-11-14
4315,CHI,WAS,1971-11-14
11138,KAN,BAL,1971-11-14
17201,NOR,SFO,1971-11-14
3241,BUF,NWE,1971-11-14
16025,NWE,BUF,1971-11-14
17868,NYG,ATL,1971-11-14
905,ATL,NYG,1971-11-14
2214,BAL,KAN,1971-11-14
7604,DET,LAR,1971-11-14
19139,NYJ,IND,1971-11-14
5138,CIN,DEN,1971-11-14
15044,MIA,PIT,1971-11-14
8808,GNB,MIN,1971-11-14
21448,SFO,NOR,1971-11-14
