team_year,passing_yds,passing_int,passing_times_sacked,rushing_yds,fmb,time_of_possession,punts_yds,penalty_yds,def_passing_yds,def_passing_int,def_passing_times_sacked,def_rushing_yds,def_fmb,def_time_of_possession,pass_play_percentage,def_pass_play_percentage,drives,def_drives,tds_per_yard,def_tds_per_yard,clutch_conversion_percentage,def_clutch_conversion_percentage,fg_percentage,home_game
DAL2018,-0.1707898269981572,-1.1899123152738624,1.252213244410702,0.5124968548966528,-0.3381391090841388,0.8481161812155934,-1.1474462389788225,0.7515517738384128,0.0338952208344797,-1.3157328625487963,-0.0506319586888431,-1.1432179417829766,0.6145054241584972,-0.5781465618255788,-0.4380476042217501,1.0775487353549114,-1.1940145786396332,-1.5054529817129485,0.0639059725348649,0.3045479637868744,0.8297157295831935,-0.7730790246711021,-1.1826848882535286,0.9995043370203543
DAL2019,1.3972520618739632,-1.350424214209145,-0.1194736413661021,0.9419051406250591,-0.5613153469842389,0.082712942951424,-1.905349715659456,0.904651672966485,0.0738551144116734,-1.774113302554751,0.181445946408429,-0.941847422077216,0.0071423273256473,-0.1425431538322234,0.3726042475221038,0.8318552188319682,-0.4535935782860309,-0.824921504766133,-0.2790986306741372,0.367836313953835,2.027130725959824,-0.4986312888840396,-0.5514671638390601,0.9995043370203543
DAL2020,1.1682246508016998,-0.8935826557010336,0.1665221635036963,0.2517573669738833,-0.2767656436616112,-0.9865321868661012,-1.8734323632060967,0.3030139103678014,0.2427522645979498,-1.084400677872894,-0.5807467524373506,1.6622689007929166,1.2970658567897,0.6521077029289382,0.6589298643079369,-0.7142983695611688,-0.4930826983048889,-0.9773322001240144,-0.0795632616736868,1.4896078049865644,1.434516126788958,-0.8331636628118642,0.4548481143631556,0.9995043370203543
DAL2021,1.4659991084626134,-1.1117142106643658,-0.0393219508293433,0.3026462787638641,-0.3158214852941288,-0.1206214526682508,-0.8907867013194026,0.9580764913233104,0.0769187062525924,1.4645372829078809,0.1912176476756826,0.7860874161424979,0.2443031556127604,0.1231060246804174,0.6656953641138466,0.2549962517338349,0.4645284621524357,-0.8337825917055429,0.9639676721405088,0.225582682844611,1.4150616071192073,0.4574753547183081,-0.452219093962571,0.9995043370203543
DAL2022,0.5705255237707579,0.3534713283346223,-0.911882400081786,0.8767202686443681,-1.2252646547370378,-0.1685557968827756,-0.4625910477653333,-0.1574388406500159,-0.3427489760714565,1.0447122070145762,0.9094376908188218,0.6817185492218286,1.41853847615627,0.2854046582385735,-0.4636598534869811,-0.3430009356137771,0.4191159741307487,-0.7026385050022504,1.797050364289403,-0.8711057189476349,1.791324844688012,0.3139544068449597,-0.8269557456780418,0.9995043370203543
DAL2023,0.6976866551236978,-0.6672197213051223,-0.1358683053395299,0.1589807035139979,-1.370329209372103,0.667975823119076,-1.593251466300262,-0.097992519984388,-1.2194246412733558,0.2093459845738183,0.7946202009285928,0.3094157366336109,0.4814639838998728,-0.8522168958530291,0.1140655049391158,-0.758412916168779,-1.2749672746782943,-2.503211371090704,1.31738455752515,-0.5171554596652587,2.066681123090636,0.0599721809923042,1.2548477079130351,0.9995043370203543
DEN1995,0.869195902977136,-0.033403504996571,-0.1194736413661021,0.0535553509964887,2.94813099399484,0.3007368956690968,-1.3529436757105433,-0.1585918942836165,0.1554620970726565,-1.491373965728648,-1.2012497829079536,-7.257060606428648e-06,1.5978551999831117,-0.216036874688747,0.7664529862232917,-0.1460172309700705,-0.0429067300898991,0.2525866670663272,0.0148481045919549,0.5343601564114884,0.010488044149298,-0.6463502900772681,0.7225171513027778,0.9995043370203543
DEN1996,0.063165152574162,0.4440165020929869,-0.5165888353891345,1.1159275696132274,2.7640105977272578,1.5284746152281887,-1.4683807208891426,0.6659695708111725,-0.7573994717574801,1.4945247883288306,-0.5123448435665754,-1.2455834434562518,-0.085408239810787,-1.8106975053568597,-0.2935558583669589,1.3780790841192605,-0.6352435303727824,-0.8125159830509573,0.5889252776218497,-0.2145326329953522,1.2726801774482857,0.1607254606693904,-0.4214221171281696,0.9995043370203543
DEN1997,-0.144121228994828,-0.4573195457743682,-0.4528318088258033,1.5812228335981524,0.933965446946434,1.648310475764499,-1.2286703979808171,0.9834436712625224,-1.518813043930049,1.2974640384197296,0.3280214654172331,-0.8403220413141385,0.7880377375393116,-1.540454969290683,-0.8582334671673737,1.1244204411254974,0.097279645977049,-0.1904676799042563,1.2122605547903404,-0.5853210771845349,1.0507703816548657,1.4710428531364963,-0.7328806055042068,0.9995043370203543
DEN1998,0.0368847872405342,0.0612573584780827,-0.8918444774475961,1.8136057255870828,-0.4608860399291936,1.5230626731394536,-0.6544096191599006,1.5019334551715666,-0.2771259508413533,1.3702908372991798,0.8385928566312334,-1.8385149319993688,0.8343130211075288,-1.6560544677212563,-1.2136638319707145,2.1114834214707887,0.8041348943146225,0.3287920147452663,1.995884906604953,0.831292837837026,0.6689487098947057,0.9035185199554088,-0.9347451645984466,0.9995043370203543
DEN1999,-0.1744631053345618,0.6621480570563191,-0.6659624404803669,0.8968993400246722,-0.6673240599867867,1.339056642122411,0.9787525650939116,0.558479348745522,-0.8980582971492057,0.3035924301825193,1.595899704843387,-0.95968383524756,0.5450924988061714,-0.8797770411742264,-0.4324902293811822,0.5650234820595441,1.256285318530554,1.2450284042804354,-0.0918777877083362,0.427524776313133,-0.2552478673836684,1.6599552525310324,0.7606524702735006,0.9995043370203543
DEN2000,0.5126489919337451,-0.1486428170526713,-0.6495677765069388,1.5918712648513151,0.6549951495713082,1.8771583126596472,-0.3961149067935109,-0.2036891030644374,0.3241372478501695,2.115694543477087,1.012040554124985,-0.7057734463117661,1.8060939760400885,-1.8290709355709884,-0.6272399737941613,1.50674651172479,0.7172588302731322,0.309297623478562,0.1827461546741192,0.2495045179535909,0.5141676962584469,1.627945095966958,0.0194799145049582,0.9995043370203543
DEN2001,-0.7366538751135908,0.5180989169861941,0.2466738540404552,0.8676602774123933,0.007784059661017,1.5385253648215578,0.1345936226206064,0.1372304212701227,-0.2041769451220967,2.2313606358150384,0.6822456363551758,-1.1617652264927183,2.06639244611131,-1.4348077455594317,-0.7707652196766801,0.953170222002898,0.8653430303438513,-0.5201001140503705,0.1447012774939033,0.0704391308756953,0.3262498634044824,1.5851774277706925,0.7338254162341589,0.9995043370203543
