,team,year,passing_yds,passing_int,passing_times_sacked,rushing_yds,fmb,punts_yds,penalty_yds,def_passing_yds,def_passing_int,def_passing_times_sacked,def_rushing_yds,def_fmb,pass_play_percentage,def_pass_play_percentage,drives,def_drives,tds_per_yard,def_tds_per_yard,fg_percentage,home_game
0,ARI,1970,-1.3560231929811526,2.49044094087645,-0.9719932982300441,0.7753248878213702,1.6577668929824232,-0.4288971925065904,0.7037927574789756,-1.7334919066102954,1.3944547080715897,1.2395600755350518,0.5394440242757653,1.7771396507305952,-1.3868587150916833,-2.9430146493322997,0.873303570443437,1.7707569686318487,0.5937686810148093,0.5275196836633516,-2.599503735479945,1.0043838495597834
1,ARI,1971,-1.441606097118436,3.3955025196810693,-1.2244665134952253,0.1793301873674749,3.6229242859231805,-0.996931145562062,-0.19659772294449532,-2.3019468845502735,1.8484548910262923,-1.0654337023283942,1.3710763389598524,3.1868434992358514,-1.3516824761376427,-3.40083659233019,-0.404017798752287,0.3383584518305392,-0.7875052755043516,-0.8444771185052629,-1.9883827165694428,1.0043838495597834
2,ARI,1972,-1.9287474381515113,3.0746170508321584,-0.7540308102313263,-0.9820713427668499,4.031632233742768,-0.600498619605136,-1.075855283130431,-2.197879165103389,0.16951081821267303,-1.2913182348271308,2.476251474460792,3.385793639145867,-1.4270601310391586,-4.536675400809925,-1.3371388612955803,-0.36024377319418,-0.9290973716706626,-1.0724296950652847,-1.6365032574254303,1.0043838495597834
3,ARI,1973,-2.0282223187337416,1.9309483285245033,-0.7740107049645424,0.04063001472227051,2.9734705606208216,-0.8419443981058675,-1.5380898839623385,-1.2274067358590282,-0.6228479916611012,-0.8711244270606646,2.635613146219216,3.3573721905872937,-1.6826262752766823,-3.798410757926219,-0.5393104048353226,0.012813334375694577,-0.7893077208586612,0.06791174757380677,-1.2219817856984376,1.0043838495597834
4,ARI,1974,-1.73021413880767,-0.348161283556219,-1.4460617096272546,0.7258686369922399,1.3050463352751076,0.10647167340297586,-1.19163807037123,-2.1863701871977366,0.4521901774108842,0.04455803263851271,1.9883277207179038,1.100709175036541,-1.7383818104895494,-3.10754918863281,1.0404297308989552,0.26269120831400616,0.2321781157697249,-0.10149057328094997,-2.612634465040608,1.0043838495597834
5,ARI,1975,-1.5930494634593855,0.7955074387514366,-2.472301757287883,2.6097181724255587,2.9510756045759123,-0.7060488580122983,-0.4934832327057476,-1.9915586034947423,2.173964456163627,-1.011998651629769,1.6520629421699706,1.3223964737934162,-3.2720179700572287,-2.278454140224474,0.4614569607494903,-0.12796293263180555,0.9619682125590273,0.18003664436906527,-0.6019463265357425,1.0043838495597834
6,ARI,1976,-0.8727787446981585,0.7625961086130868,-2.119929068356623,2.695329052119114,4.809856956303353,-0.9140458380632391,-0.7104478804777763,-2.7877142827681007,2.3538513211079435,-1.067862568269241,1.888192665392851,3.226633527217854,-3.225116318118508,-3.5880022764415505,0.45946736360120793,-0.0012642923250569997,0.4808154388114156,0.8450333232982238,-0.7715616221450442,1.0043838495597834
7,ARI,1977,-1.2474456468910984,1.8198725893075731,-1.9891515755573927,2.2318231942299867,3.9364536705519058,-0.7688398076795224,0.05533230194781848,-2.8352994798780116,1.8056246850871693,-1.410332665928615,2.812192610295973,2.1068284540100506,-3.161464076201672,-4.241247213143952,-0.17521412670009281,0.6973379326996622,0.4670968269480601,0.8265194084507097,-3.7407930185783274,1.0043838495597834
8,ARI,1978,-0.9785897944083835,1.9391761610590907,-1.8347614798916345,0.989029801060517,2.3856029644419623,0.5627483945245205,0.2555186918342889,-3.2472766236007486,3.0691157602912957,-0.12060485133905788,2.0302718162903886,1.9192468935234637,-2.1260383214116336,-3.806362241238141,0.9310018877435552,0.7870828029169438,-0.31987084191406,1.0743744434718085,-3.6282783267465897,1.0043838495597834
9,ARI,1979,-1.567139588762279,2.0091127376030844,-0.17824657110138098,2.093357411399139,3.1974201210699107,0.03810069925209343,0.5068083252042528,-2.482150919373016,1.5186623052950459,-0.8298337060662717,1.6754946745731196,2.6525202663346654,-1.916655946685199,-3.113665714257365,0.6862814385051232,1.758439045268693,0.027900975614651935,1.5556205175393871,-4.726200062672139,1.0043838495597834
10,ARI,1980,-1.9947863839925852,2.1572137232256585,1.0768540889579006,1.8131443883364569,2.0384811457458745,1.2747971367818038,0.9896635330558158,-1.3666211032177902,1.1074923282794653,-0.10603165569397759,1.1616795038101768,2.277357145361492,-1.8987088859943626,-1.9992347454635682,1.7785702729108124,2.3285829266490676,-0.03868936664178205,0.7455210309928338,-3.4126452449705593,1.0043838495597834
11,ARI,1981,-1.7420535534224217,2.2436059648388267,1.5727187491549832,1.6154951773807018,3.1806239040362296,0.11932453878668123,0.3752719065136546,-1.1468881558190942,2.0369077971584333,-0.3392027860152537,2.0459361235875195,2.1295656128569087,-2.034627958959636,-1.9643705494036094,0.4534985721563714,0.869788859783851,-0.022767766012047757,1.2105674295688371,-2.347249169424635,1.0043838495597834
12,ARI,1982,-1.8832043633394913,1.3755696324398516,1.8669681079532519,1.395168751885997,5.1625775140106684,0.8440694041668932,0.5568869422519885,-1.0080721761570657,0.2251900859335329,0.27772916295978883,1.0341642749864184,3.2380021066412836,-2.1171844381374876,-1.330392668418555,0.38187307481829064,1.6493374383378816,-0.22934803078651791,1.2576622004622016,-2.4141074713160853,1.0043838495597834
